City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
9057,pipri,0,IN,1612589033,35,19.8,75.5333,IN,2.06
2143,mahajanga,40,MG,1612588626,94,-15.7167,46.3167,MG,0.51
6899,rabo de peixe,40,PT,1612589035,94,37.8,-25.5833,PT,3.6
1943,saldanha,1,ZA,1612588773,88,-33.0117,17.9442,ZA,5.14
2389,buchanan,75,LR,1612588411,94,5.8808,-10.0467,LR,5.14
371,ferme-neuve,100,CA,1612589037,73,46.7001,-75.4493,CA,4.12
1438,lerwick,90,GB,1612589037,64,60.1545,-1.1494,GB,9.26
1715,strzelin,75,PL,1612588801,74,50.7816,17.0648,PL,4.12
2007015,marquette,100,US,1612589039,83,46.5333,-87.6335,US,5.1
7421,najran,0,SA,1612588869,37,17.4924,44.1277,SA,5.15
1571,ebeltoft,75,DK,1612588959,80,56.1944,10.6821,DK,5.66
9124,hambantota,75,LK,1612588837,83,6.1241,81.1185,LK,1.54
2034587,venado tuerto,0,AR,1612589040,90,-33.7456,-61.9688,AR,2.4
2018017,havelock,100,US,1612589040,94,34.8791,-76.9013,US,1.34
2008401,cabra,80,ES,1612589041,83,37.4725,-4.4421,ES,1.34
2007751,vila,99,PT,1612588562,89,42.0304,-8.1588,PT,4.02
951,norman wells,20,CA,1612588831,66,65.282,-126.8329,CA,1.03
7683,college,75,US,1612589043,70,64.8569,-147.8028,US,2.57
9070,porbandar,0,IN,1612589043,20,21.6422,69.6093,IN,6.69
6540,saint-denis,100,FR,1612589044,93,48.9167,2.3333,FR,1.54
935,thompson,40,CA,1612588832,68,55.7435,-97.8558,CA,4.12
1663,longyearbyen,75,SJ,1612588839,80,78.2186,15.6401,SJ,6.17
978,medicine hat,90,CA,1612589049,77,50.0501,-110.6683,CA,2.06
8759,caraballeda,0,VE,1612589049,78,10.6112,-66.8522,VE,4.07
2011713,abbeville,100,FR,1612589050,65,50.1,1.8333,FR,1.59
3527,henderson,1,US,1612588872,28,36.0397,-114.9819,US,3.6
3920,eau claire,1,US,1612588977,60,44.8114,-91.4985,US,6.69
9278,phuket,20,TH,1612589053,55,8,98.25,TH,7.2
2033571,asau,100,RO,1612588606,76,46.4333,26.4,RO,0.24
9549,launceston,90,AU,1612589054,59,-41.45,147.1667,AU,10.8
836,cambridge,90,CA,1612588844,73,43.3601,-80.3127,CA,7.72
7432,turayf,40,SA,1612589056,100,31.6725,38.6637,SA,6.17
72671,muros,98,ES,1612589056,76,42.7762,-9.0603,ES,2.68
8391,pitimbu,20,BR,1612589057,94,-7.4706,-34.8086,BR,1.03
8584,puerto colombia,92,CO,1612589057,88,10.9878,-74.9547,CO,2.06
876,port hawkesbury,90,CA,1612589058,93,45.6169,-61.3485,CA,3.09
7868,nanakuli,1,US,1612589060,64,21.3906,-158.1547,US,2.06
9423,padang,20,ID,1612588798,62,-0.9492,100.3543,ID,2.06
7300,bairiki,75,KI,1612588498,78,1.3292,172.9752,KI,3.09
2032858,virginia beach,98,US,1612588779,87,36.8529,-75.978,US,4.33
2021106,bodden town,0,KY,1612589064,78,19.2833,-81.25,KY,2.24
2202,maputo,75,MZ,1612589064,89,-25.9653,32.5892,MZ,3.09
9585,port hedland,40,AU,1612589065,58,-20.3167,118.5667,AU,5.66
1367,vaasa,0,FI,1612589067,92,63.096,21.6158,FI,2.06
9020,zheleznodorozhnyy,75,RU,1612589067,78,55.7503,38.0042,RU,4
1571,grenaa,75,DK,1612589068,80,56.4158,10.8783,DK,5.66
9501,hervey bay,59,AU,1612588506,42,-25.2986,152.8535,AU,4.63
7868,makakilo city,1,US,1612589068,64,21.3469,-158.0858,US,2.06
86,nuuk,75,GL,1612588850,68,64.1835,-51.7216,GL,7.2
8474,vila velha,75,BR,1612588535,78,-20.3297,-40.2925,BR,3.09
9248,basmat,3,IN,1612589059,46,19.3167,77.1667,IN,1.03
8896,onokhoy,20,RU,1612589071,66,51.932,108.0747,RU,2.77
7165,cabo san lucas,1,MX,1612588595,32,22.8909,-109.9124,MX,3.09
2021605,goure,2,NE,1612588929,28,13.9835,10.2704,NE,2.68
7562,salalah,40,OM,1612588485,53,17.0151,54.0924,OM,0.92
2002441,ashqelon,19,IL,1612589076,100,31.6693,34.5715,IL,2.24
2005871,jena,100,DE,1612589078,96,50.9333,11.5833,DE,0.89
7879,kahului,40,US,1612588870,64,20.8947,-156.47,US,2.57
2037205,ciro marina,9,IT,1612589080,42,39.3732,17.126,IT,1.79
8682,san isidro,75,PE,1612589081,88,-12.1167,-77.05,PE,4.63
9361,ambon,40,ID,1612589081,58,-3.6954,128.1814,ID,5.14
8391,cabedelo,20,BR,1612589082,94,-6.9811,-34.8339,BR,1.03
9535,kingaroy,40,AU,1612589082,31,-26.5333,151.8333,AU,1.03
4127,fortuna,90,US,1612588875,93,40.5982,-124.1573,US,2.57
2019205,arvin,0,US,1612589083,72,35.2091,-118.8284,US,1.12
5938,palm city,40,US,1612588990,82,27.1678,-80.2662,US,0.98
9498,mackay,31,AU,1612589085,66,-21.15,149.2,AU,6.69
2129,mitsamiouli,20,KM,1612589086,83,-11.3847,43.2844,KM,2.06
4736,lincoln,1,US,1612589087,78,40.8,-96.667,US,1.85
